ts,frame_hex,u16_1_2,u16_3_4,u16_5_6,u16_7_8,u16_9_10,u16_11_12,u16_13_14,u16_15_16,u16_17_18,u16_19_20,u16_21_22,u16_23_24,u16_25_26,u16_27_28,u16_29_30,u16_31_32,u16_33_34
2026-08-05T02:03:13.095978+00:00,a55a25821000144203d60028000200550026002400000ca900000001000100340001000100010000,5186,982,40,2,85,38,36,0,3241,0,1,1,52,1,1,1,0
2026-08-05T02:03:13.597820+00:00,a55a25821000144203dd0029000200550026002400000caa00000001000100350001000100010000,5186,989,41,2,85,38,36,0,3242,0,1,1,53,1,1,1,0
2026-08-05T02:03:14.199939+00:00,a55a25821000144303d3001f000200550026002400000caa00000001000100330001000100010000,5187,979,31,2,85,38,36,0,3242,0,1,1,51,1,1,1,0
2026-08-05T02:03:14.801994+00:00,a55a25821000144303d30020000200550026002400000caa00000001000100340001000100010000,5187,979,32,2,85,38,36,0,3242,0,1,1,52,1,1,1,0
2026-08-05T02:03:15.303929+00:00,a55a25821000144303dd0021000200550026002400000caa00000001000100350001000100010000,5187,989,33,2,85,38,36,0,3242,0,1,1,53,1,1,1,0
2026-08-05T02:03:15.906350+00:00,a55a25821000144403da0022000200550026002400000cab00000001000100330001000100010000,5188,986,34,2,85,38,36,0,3243,0,1,1,51,1,1,1,0
2026-08-05T02:03:16.508547+00:00,a55a25821000144403da0023000200550026002400000cab00000001000100340001000100010000,5188,986,35,2,85,38,36,0,3243,0,1,1,52,1,1,1,0
2026-08-05T02:03:17.094484+00:00,a55a25821000144503dd0024000200550026002400000cab00000001000100350001000100010000,5189,989,36,2,85,38,36,0,3243,0,1,1,53,1,1,1,0
2026-08-05T02:03:17.596323+00:00,a55a25821000144503dd0025000200540026002400000cac00000001000100330001000100010000,5189,989,37,2,84,38,36,0,3244,0,1,1,51,1,1,1,0
2026-08-05T02:03:18.198517+00:00,a55a25821000144603dd0026000200540026002400000cac00000001000100340001000100010000,5190,989,38,2,84,38,36,0,3244,0,1,1,52,1,1,1,0
